Step,AgentID,State,Health,Row,Col,Age,Risk,Strategy,FamilyID,EscapeStep,CellsTraversed,HazardCellsCrossed,StepsInSmoke,StepsInFire,CommsReceived,RescueCompleted,ExitChosen_r,ExitChosen_c
2,0,evacuating,100,2,17,30,0.7459975982133148,least_crowded_exit,5.0,-1,0,0,0,0,3,False,1,18
2,24,evacuating,100,12,12,68,0.31216244653772157,nearest_exit,5.0,-1,0,0,0,0,3,True,14,18
2,5,rescuing,100,10,11,59,0.6227643906126332,least_crowded_exit,5.0,-1,1,0,0,0,4,False,14,1
2,22,evacuating,100,13,11,42,0.14690831997774315,safest_exit,,-1,0,0,0,0,4,False,14,18
2,12,evacuating,100,12,18,77,0.29984515830568037,nearest_exit,,-1,0,0,0,0,4,False,14,18
2,10,evacuating,100,1,5,45,0.45889083826650556,nearest_exit,2.0,-1,0,0,0,0,1,False,1,18
2,14,evacuating,100,8,11,53,0.7890792838094645,safest_exit,,-1,0,0,0,0,2,False,14,18
2,4,evacuating,100,14,3,61,0.6832606795678805,nearest_exit,,-1,0,0,0,0,3,False,14,1
2,20,evacuating,100,8,6,31,0.4885129003605748,least_crowded_exit,,-1,0,0,0,0,1,False,14,1
2,9,rescuing,100,5,9,52,0.25327205771332323,least_crowded_exit,0.0,-1,0,0,0,0,2,False,14,1
2,11,evacuating,100,10,7,47,0.24679042862978662,safest_exit,,-1,0,0,0,0,1,False,14,1
2,7,evacuating,100,14,12,69,0.6825708707529461,safest_exit,,-1,0,0,0,0,4,False,14,18
2,28,evacuating,100,6,13,63,0.5446146587244945,nearest_exit,,-1,0,0,0,0,3,False,1,18
2,8,evacuating,100,8,15,33,0.7893380290822328,nearest_exit,,-1,0,0,0,0,3,False,14,18
2,17,rescuing,100,2,7,23,0.11180628519652043,least_crowded_exit,2.0,-1,1,0,0,0,0,False,14,1
2,3,evacuating,100,3,9,73,0.42888182083979043,nearest_exit,,-1,0,0,0,0,1,False,1,18
2,21,evacuating,100,6,14,75,0.7917203152241724,least_crowded_exit,3.0,-1,0,0,0,0,3,False,1,18
2,2,dead,0,5,2,45,0.44484094592510204,safest_exit,,-1,0,0,0,2,1,False,1,18
3,22,evacuating,100,13,12,42,0.14690831997774315,safest_exit,,-1,1,0,0,0,4,False,14,18
3,4,evacuating,100,14,3,61,0.6832606795678805,nearest_exit,,-1,0,0,0,0,3,False,14,1
3,26,rescuing,100,1,4,79,0.43840598879213033,nearest_exit,3.0,-1,0,0,0,0,1,False,1,18
